Image_Name,Polygon_ID,OSM_ID,Centroid_X,Centroid_Y,Centroid_Longitude,Centroid_Latitude,Area_Pixels,Area_Meters
Atlanta_02,1,51277860,-4515799.36,2743093.525,-84.2931,33.7666,15295,354.9324
Atlanta_02,2,51277865,-4515799.312,2743093.524,-84.2858,33.7666,6573,152.5747
Atlanta_02,3,51278128,-4515799.329,2743093.492,-84.2883,33.7715,8444,195.9639
Atlanta_02,4,51278134,-4515799.32,2743093.492,-84.287,33.7716,8634,200.5949
Atlanta_02,5,51278211,-4515799.331,2743093.52,-84.2887,33.7673,11181,260.1094
Atlanta_02,6,51278213,-4515799.317,2743093.519,-84.2866,33.7674,1092,25.0213
Atlanta_02,7,51278218,-4515799.335,2743093.519,-84.2892,33.7675,369,8.6193
Atlanta_02,8,51278229,-4515799.316,2743093.518,-84.2863,33.7676,952,21.9854
Atlanta_02,9,51278355,-4515799.315,2743093.503,-84.2862,33.7699,42095,978.349
Atlanta_02,10,51278364,-4515799.331,2743093.499,-84.2887,33.7705,1821,42.4982
Atlanta_02,11,51278813,-4515799.311,2743093.523,-84.2857,33.7668,6139,142.8924
Atlanta_02,12,51278823,-4515799.33,2743093.523,-84.2886,33.7668,9224,214.3214
Atlanta_02,13,51279134,-4515799.31,2743093.515,-84.2855,33.7681,1990,46.3451
Atlanta_02,14,51279139,-4515799.339,2743093.514,-84.2899,33.7681,9724,225.1153
Atlanta_02,15,51279142,-4515799.321,2743093.514,-84.2871,33.7682,5376,124.7935
Atlanta_02,16,51279143,-4515799.331,2743093.514,-84.2886,33.7682,937,21.8054
Atlanta_02,17,51279148,-4515799.331,2743093.514,-84.2887,33.7682,6527,151.194
Atlanta_02,18,51279152,-4515799.353,2743093.513,-84.292,33.7683,1361,31.5395
Atlanta_02,19,51279154,-4515799.309,2743093.514,-84.2853,33.7683,11751,273.2914
Atlanta_02,20,51279158,-4515799.303,2743093.513,-84.2844,33.7684,4955,115.1215
Atlanta_02,21,51279161,-4515799.309,2743093.513,-84.2854,33.7684,8089,188.1327
Atlanta_02,22,51279170,-4515799.335,2743093.512,-84.2893,33.7685,2178,50.3402
Atlanta_02,23,51279790,-4515799.343,2743093.506,-84.2905,33.7694,6013,139.5705
Atlanta_02,24,51279793,-4515799.312,2743093.505,-84.2858,33.7695,8142,189.158
Atlanta_02,25,51279815,-4515799.322,2743093.504,-84.2874,33.7698,12097,280.9789
Atlanta_02,26,51280071,-4515799.3,2743093.511,-84.2839,33.7687,5685,132.1582
Atlanta_02,27,51280075,-4515799.345,2743093.511,-84.2908,33.7687,574,13.2475
Atlanta_02,28,51280091,-4515799.299,2743093.509,-84.2838,33.7689,132,3.3502
Atlanta_02,29,51280100,-4515799.318,2743093.509,-84.2867,33.769,6313,146.5193
Atlanta_02,30,51281947,-4515799.33,2743093.496,-84.2886,33.7709,7949,184.4536
Atlanta_02,31,51281979,-4515799.299,2743093.521,-84.2838,33.7671,351,8.1349
Atlanta_02,32,51281994,-4515799.354,2743093.52,-84.2921,33.7673,11445,265.8382
Atlanta_02,33,51282036,-4515799.326,2743093.501,-84.2879,33.7703,12148,281.9714
Atlanta_02,34,51282066,-4515799.309,2743093.516,-84.2853,33.7679,1070,24.9137
Atlanta_02,35,51282067,-4515799.304,2743093.516,-84.2845,33.7679,7911,183.721
Atlanta_02,36,51282317,-4515799.305,2743093.527,-84.2847,33.7662,4541,106.1061
Atlanta_02,37,51282319,-4515799.301,2743093.527,-84.2841,33.7662,457,10.6764
Atlanta_02,38,51282523,-4515799.309,2743093.527,-84.2853,33.7662,3951,91.536
Atlanta_02,39,51282525,-4515799.332,2743093.527,-84.2888,33.7663,413,9.576
Atlanta_02,40,51282540,-4515799.329,2743093.526,-84.2883,33.7664,311,7.4674
Atlanta_02,41,51282544,-4515799.3,2743093.526,-84.2839,33.7663,7289,169.0987
Atlanta_02,42,51282549,-4515799.301,2743093.525,-84.2841,33.7665,1248,28.9828
Atlanta_02,43,51282556,-4515799.328,2743093.525,-84.2882,33.7665,8059,187.3513
Atlanta_02,44,51282570,-4515799.338,2743093.524,-84.2898,33.7667,3031,70.7575
Atlanta_02,45,51282774,-4515799.307,2743093.493,-84.285,33.7714,5109,118.6886
Atlanta_02,46,51282777,-4515799.31,2743093.492,-84.2854,33.7715,26457,615.173
Atlanta_02,47,51282845,-4515799.342,2743093.519,-84.2904,33.7674,1394,31.9996
Atlanta_02,48,51282856,-4515799.299,2743093.519,-84.2838,33.7674,3972,92.3547
Atlanta_02,49,51282959,-4515799.361,2743093.501,-84.2932,33.7701,29209,678.2271
Atlanta_02,50,51282964,-4515799.324,2743093.501,-84.2877,33.7702,8083,187.9338
Atlanta_02,51,51282967,-4515799.358,2743093.499,-84.2928,33.7705,8160,189.2973
Atlanta_02,52,51283092,-4515799.34,2743093.495,-84.29,33.7711,9057,209.989
Atlanta_02,53,51283093,-4515799.333,2743093.495,-84.289,33.7711,3960,91.8317
Atlanta_02,54,51283107,-4515799.316,2743093.493,-84.2864,33.7713,6098,141.9626
Atlanta_02,55,51283117,-4515799.326,2743093.492,-84.288,33.7715,1929,44.7254
Atlanta_02,56,51283121,-4515799.338,2743093.492,-84.2898,33.7715,98455,2284.1152
Atlanta_02,57,51283122,-4515799.32,2743093.491,-84.287,33.7717,2137,48.5483
Atlanta_02,58,51283427,-4515799.321,2743093.524,-84.2872,33.7667,6588,152.8422
Atlanta_02,59,51283438,-4515799.34,2743093.523,-84.29,33.7668,8754,203.4476
Atlanta_02,60,51283441,-4515799.305,2743093.523,-84.2847,33.7668,6871,159.4479
Atlanta_02,61,51283442,-4515799.299,2743093.523,-84.2838,33.7669,6033,141.2246
Atlanta_02,62,51283447,-4515799.31,2743093.523,-84.2855,33.7669,6722,156.2156
Atlanta_02,63,51283448,-4515799.305,2743093.522,-84.2847,33.7669,1211,28.1265
Atlanta_02,64,51283781,-4515799.311,2743093.514,-84.2857,33.7682,1160,27.1171
Atlanta_02,65,51283786,-4515799.343,2743093.514,-84.2905,33.7681,10206,238.126
Atlanta_02,66,51283790,-4515799.353,2743093.514,-84.292,33.7683,1337,31.0695
Atlanta_02,67,51283796,-4515799.311,2743093.513,-84.2856,33.7683,2702,62.7913
Atlanta_02,68,51283802,-4515799.333,2743093.513,-84.289,33.7684,1955,45.8034
Atlanta_02,69,51283805,-4515799.325,2743093.513,-84.2877,33.7684,5665,131.5327
Atlanta_02,70,51284438,-4515799.34,2743093.507,-84.29,33.7692,6197,144.2437
Atlanta_02,71,51284443,-4515799.343,2743093.507,-84.2905,33.7693,4364,101.2555
Atlanta_02,72,51284522,-4515799.32,2743093.504,-84.2871,33.7697,7595,176.6804
Atlanta_02,73,51284533,-4515799.363,2743093.504,-84.2936,33.7697,26292,611.1437
Atlanta_02,74,51286011,-4515799.362,2743093.51,-84.2934,33.7688,37116,860.0842
Atlanta_02,75,51286019,-4515799.349,2743093.509,-84.2913,33.769,2881,67.158
Atlanta_02,76,51286024,-4515799.339,2743093.508,-84.2899,33.7691,10256,238.6991
